,date,temperature,description
0,Today,20° 69°,Sunny and a gentle breeze
1,Wednesday 12th AugustWed 12th,20° 69°,Sunny intervals and light winds
2,Thursday 13th AugustThu 13th,19° 67°,Thundery showers and light winds
3,Friday 14th AugustFri 14th,18° 65°,Thundery showers and a gentle breeze
4,Saturday 15th AugustSat 15th,18° 64°,Light rain and light winds
5,Sunday 16th AugustSun 16th,17° 63°,Light rain showers and a gentle breeze
6,Monday 17th AugustMon 17th,16° 60°,Light rain showers and a gentle breeze
7,Tuesday 18th AugustTue 18th,15° 60°,Light cloud and a gentle breeze
8,Wednesday 19th AugustWed 19th,14° 57°,Light rain and a gentle breeze
9,Thursday 20th AugustThu 20th,14° 58°,Light rain showers and a moderate breeze
10,Friday 21st AugustFri 21st,14° 57°,Light rain and a moderate breeze
11,Saturday 22nd AugustSat 22nd,14° 58°,Light rain showers and a gentle breeze
12,Sunday 23rd AugustSun 23rd,14° 58°,Sunny intervals and a gentle breeze
13,Monday 24th AugustMon 24th,14° 58°,Sunny intervals and a gentle breeze
